"id","customer_id","installation_date","status","pic_id","created_by","updated_by","created_at","updated_at","uninstallation_date","lead_person_id","installed_by","unistalled_by","remarks","idu_sn","ac_asset_id","custom_asset_name","odu_sn","last_deduction_date","contract_start_date","contract_end_date","total_debt","balance","service","payment_term","monthly_fee","device_activated","security_deposit_status","uninstallation_start_date","uninstallation_end_date","uninstallation_status"
1106,299,"2022-03-09 00:00:00","UNINSTALLED",NULL,NULL,NULL,"2022-03-09 14:08:02.188811","2024-01-11 08:26:12.530984","2024-01-11",NULL,NULL,71,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1215,375,"2022-04-28 00:00:00","ACTIVE",NULL,NULL,NULL,"2022-04-28 08:18:37.334388","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000242",7,NULL,"0000213",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
613,28,"2021-08-12 11:25:57.836881","ACTIVE",NULL,NULL,NULL,NULL,"2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000102",6,NULL,"0000102","2021-12-03 06:48:53.236966",NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
615,31,"2021-08-12 11:25:57.836881","ACTIVE",NULL,NULL,NULL,NULL,"2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000114",7,NULL,"0000114","2021-12-03 06:49:35.013834",NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
652,62,"2021-08-12 11:25:57.836881","ACTIVE",NULL,NULL,NULL,NULL,"2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000108",7,NULL,"0000113","2021-12-03 06:49:23.159248",NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1501,559,"2022-12-07 00:00:00","ACTIVE",NULL,NULL,NULL,"2022-12-07 09:16:53.02727","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000438",5,NULL,"0000427",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1502,491,"2022-12-07 00:00:00","ACTIVE",NULL,NULL,NULL,"2022-12-07 09:51:09.596522","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000352",7,NULL,"0000267",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
914,125,"2021-10-20 00:00:00","ACTIVE",NULL,NULL,NULL,"2021-11-16 22:03:05.001602","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000216",6,NULL,"0000134","2021-12-03 06:48:30.172023",NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
2817,952,"2023-12-04 00:00:00","ACTIVE",NULL,NULL,NULL,"2023-12-04 13:04:27.538","2024-03-05 21:01:19.232739",NULL,NULL,NULL,NULL,NULL,"0000945",5,NULL,"0000774",NULL,"2023-12-04 13:04:27.537","2024-12-04 10:04:27.537",1740000,975000,NULL,"1 Year",145000,"Yes",False,NULL,NULL,NULL
1191,357,"2022-04-14 00:00:00","ACTIVE",NULL,NULL,NULL,"2022-04-13 14:06:33.643278","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000124",7,NULL,"0000112",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
